Year,Month,Date,Label,Top Level,Category 1,Category 2,Type,Value
2017,1,2017-01-01,Opening Inventory,Opening Inventory,,,stock,9541435.1
2017,2,2017-02-01,Opening Inventory,Opening Inventory,,,stock,9840216.9
2017,3,2017-03-01,Opening Inventory,Opening Inventory,,,stock,9986923.1
2017,4,2017-04-01,Opening Inventory,Opening Inventory,,,stock,9730854.1
2017,5,2017-05-01,Opening Inventory,Opening Inventory,,,stock,8740218.4
2017,6,2017-06-01,Opening Inventory,Opening Inventory,,,stock,8500437.5
2017,7,2017-07-01,Opening Inventory,Opening Inventory,,,stock,8533682.6
2017,8,2017-08-01,Opening Inventory,Opening Inventory,,,stock,8827999.5
2017,9,2017-09-01,Opening Inventory,Opening Inventory,,,stock,9348266.6
2017,10,2017-10-01,Opening Inventory,Opening Inventory,,,stock,9024224.1
2017,11,2017-11-01,Opening Inventory,Opening Inventory,,,stock,9014799.4
2017,12,2017-12-01,Opening Inventory,Opening Inventory,,,stock,10208666.9
2017,1,2017-01-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1142615.8
2017,2,2017-02-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1050052.9
2017,3,2017-03-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1173607.9
2017,4,2017-04-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1117969.4
2017,5,2017-05-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1142498.8
2017,6,2017-06-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1135296.2
2017,7,2017-07-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1173953.7
2017,8,2017-08-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1156635.9
2017,9,2017-09-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1158360.3
2017,10,2017-10-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1222837.1
2017,11,2017-11-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1231895.9
2017,12,2017-12-01,Crude Oil Light,Crude Oil Light,Production,Crude Oil Production,flow,1294838.5
2017,1,2017-01-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,422330.5
2017,2,2017-02-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,392281.6
2017,3,2017-03-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,449645.4
2017,4,2017-04-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,439687.1
2017,5,2017-05-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,455371.3
2017,6,2017-06-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,432069.6
2017,7,2017-07-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,437863.5
2017,8,2017-08-01,Crude Oil Medium,Crude Oil Medium,Production,Crude Oil Production,flow,438643.9
