Operator,Category,Product,Metric,Year,Month,Value,Month_Num,Date
Closing Inventory,Electricity (MWh),,,2010,January,949072.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,685674.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,183379.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,78148.3,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,1413204.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,1133201.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,5864.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,126645.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,836492.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,12475.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,48210.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,35548.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,44446.4,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,2737.1,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,618668.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,279759.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,64270.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,692052.7,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,66688.8,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,577769.4,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,277213.5,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,143056.8,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,0.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,399.9,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,404246.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,359689.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,365719.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,6167.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,35859.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,110506.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,99055.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,67711.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,173.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,January,151781.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,20526.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,149377.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,205144.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,18451.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,45825.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,165043.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,24515.6,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,30721.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,135.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,0.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,79156.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,3903.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,53759.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,20458.0,1,2010-01-01
Closing Inventory,Sulphur (tonnes),,,2010,January,4428.0,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,273911.0,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,205688.0,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,82794.0,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,2097.86,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,118581.0,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,82785.7,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,0.0,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,85104.0,1,2010-01-01
Exported,Electricity (MWh),,,2010,January,45327.0,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,273911.0,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,205688.0,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,82794.0,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,2097.86,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,118581.0,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,82785.7,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,0.0,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,85104.0,1,2010-01-01
Generated,Electricity (MWh),,,2010,January,45327.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,949072.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,685674.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,183379.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,78148.3,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,1413205.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,1133201.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,5864.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,126645.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,836492.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,12475.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,48210.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,35548.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,44446.4,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,2737.1,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,618668.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,279758.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,64270.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,692052.7,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,66688.8,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,577769.4,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,277213.5,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,143056.8,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,0.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,399.9,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,404246.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,359689.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,365719.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,6166.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,35859.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,110506.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,99055.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,67711.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,173.0,1,2010-01-01
Inventory Adjustment,Electricity (MWh),,,2010,January,151781.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,20526.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,149376.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,205144.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,18450.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,45825.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,165043.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,24515.7,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,30721.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,135.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,0.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,79155.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,3904.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,53760.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,20458.0,1,2010-01-01
Inventory Adjustment,Sulphur (tonnes),,,2010,January,4428.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,1099451.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,1058042.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,229292.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,78148.3,1,2010-01-01
Production,Electricity (MWh),,,2010,January,1707230.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,1310418.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,67080.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,126645.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,863520.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,12475.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,48210.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,35548.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,44446.4,1,2010-01-01
Production,Electricity (MWh),,,2010,January,2737.1,1,2010-01-01
Production,Electricity (MWh),,,2010,January,637671.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,436890.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,64270.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,760703.6,1,2010-01-01
Production,Electricity (MWh),,,2010,January,81049.3,1,2010-01-01
Production,Electricity (MWh),,,2010,January,719213.8,1,2010-01-01
Production,Electricity (MWh),,,2010,January,429021.9,1,2010-01-01
Production,Electricity (MWh),,,2010,January,143056.8,1,2010-01-01
Production,Electricity (MWh),,,2010,January,0.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,399.9,1,2010-01-01
Production,Electricity (MWh),,,2010,January,439043.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,406682.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,401568.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,51178.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,35859.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,110506.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,99055.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,83051.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,173.0,1,2010-01-01
Production,Electricity (MWh),,,2010,January,151781.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,22217.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,20953470.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,205144.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,8726826.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,42977608.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,165043.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,33270.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,30721.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,131814.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,819186.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,79156.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,7069.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,53759.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,20458.0,1,2010-01-01
Production,Sulphur (tonnes),,,2010,January,4428.0,1,2010-01-01
Closing Inventory,Electricity (MWh),,,2010,February,1169119.0,2,2010-02-01
